Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
08/02/2019 01:35:53 pm	0.000	0.000			0.0000		
08/02/2019 01:35:53 pm	0.004	0.000	0.000		0.0000	0.000	
08/02/2019 01:35:53 pm	0.008	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.012	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.016	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.020	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.024	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.028	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.032	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.036	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.040	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.044	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.048	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.052	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.056	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.060	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.064	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.068	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.072	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.076	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.080	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.084	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.088	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:35:53 pm	0.092	0.000	0.000	0.000	0.0000	0.000	0.000
